"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.223107119071529","2.05625942509703","0.186968480153468","17.0617062782751","21.183396649718","-3.85859789160849","-1.65589073844834","-5.8750137905858","-0.418843737439976","6.16161902409995","12.9130837508843","6.81422431580961","27.1385072361786","-6.8287271729666","-13.9016584230434","17.1280575539568","7.90491984521834","-4.74304336926546","-8.91559037641447","9.08677166142101","-18.0111087374493","0.687830687830688","-0.424770847306058","7.81257303108204","19.1454864154251","-12.4156931893322","8.37892444168736","9.06275535353535","-0.985625392269422","0.928927652081986","5.31547719275266","","","",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","","1.23299102251609","1.28001876304193","3.57581613520808","4.36453524429585","3.41400444390947","1.93570303554968","0.455363653443706","0.451055983077692","1.20312510873944","0.293038432389243","0.284095593578656","0.234965140617877","0.209790107431935","0.849679315295404","0.5194395532767","0.273100398085362","0.650734876563689","0.12132303904302","",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630975103981031","0.88370687168445","2.08648507257444","1.80366249575565","1.09500567621391","3.68038359532726","3.30879389182255","1.47206684886135","1.49385627947356","1.96057306398349","-2.98162799825608","6.26663053571429","3.46608752793541","5.2368632542517","3.83703655802979","8.52948883994992","2.39899396705538","5.38231807584834","17.1215906483088","40.1672509619126","9.62386631013722","24.0091170615715","11.4061900735364","20.0810136410868","9.32924138405768","-3.52665547915197","-0.0720010214346084","-1.36876162792796","1.89631505074079","3.13666213316837","-3.85111046361424","-2.70487471739953","-1.14376833410123","-5.20812271844135","2.51009500896225","8.63060523378897","-0.177522530030449","-6.05720920606598","-6.36987727292231","-4.61458824224493","",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","3.06666159864896","4.89321210624299","2.81772280812469","2.92548596657615","2.81593952287171","2.1031512816569","1.76789390918882","1.28264237512513","4.10877603723822","5.28543453663519","3.10482570131248","3.17271042518021","4.75017740669056","3.2597683417782","3.6548517813389","6.10898158597587","9.68206994584371","11.1706267334568","9.13812979653231","8.13533297424745","7.45135734006813","9.81629019287566","8.69304102716243","8.6905391281482","8.80509126091737","7.85546803334694","7.95128890722137","7.86051277529631","",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.462918640015694","-0.082709505777391","0.261360561816276","-0.791944086003455","-2.85231529507422","1.38822562761702","0.0726914650765874","0.648719401387128","0.567549712764545","0.0972953183360165","-0.493254996000951","1.77951764186235","2.94594882797257","1.53402660807513","1.58890884749975","0.485417256121579","0.670625826483173","0.0273071986200228","0.38802895202693","0.287105652237025","0.503114767153279","0.503314422399776","0.772808814659512","0.951181472535367","1.05533954610408","0.0594443485331737","0.660053122982909","1.52423102375108","1.6972504617759","0.466623137947147","0.544658052449175","1.28546667810942","0.884271560290805","1.72778838365848","2.22291367589099","3.89446696472955","4.95303693241486","5.00182285705148","4.31233774836739","4.23956537230559","3.34768600809418","1.81402512573887","1.85426711380576","1.48444820135467","1.10220620389761","1.03418310357962","1.35595058796675","1.2279112897692","1.25198411573118","1.24904687848823","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108351028072642","0.257273417071533","0.451274584371974","0.164536830325616","0.206818389048822","0.22395138271941","-0.0343377746365328","0.203892014116107","0.106393607881322","0.407195240980733","-0.544187526835552","0.324685539335671","0.128404884366882","0.52070706926589","0.0935487852947746","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271334161","6.76715211324682","6.03481603928631","5.76543753210343","5.5004397184535","1.6048746086738","0.447367363952641","3.03559489221797","2.03957474831642","2.55389515953864","2.50313391091523","2.74634535450358","2.38761932370865","2.69007303287652","2.68518545921511","2.45971482015894","3.27382620784474","",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.284224297397444","0.377464477473511","0.206489502469194","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476645854","0.253605959289195","0.430419501184104","0.297462920183783","0.880955110053282","1.06384544018918","0.269252481027723","0.177920358938206","0.338845892416111","1.03939676921859","0.51742270994039","-0.0171007571834998","0.908825708058126","1.34139040897869","1.2988816648031","1.28557885422783","1.93671240172489","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.38106854489628","2.25129423568361","2.68990096507093","1.20643922647566","2.67516171886537","2.04464008003071","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.584749931723909","1.78936428458615","2.29371024587765","1.49582091110711","",
"Armenia","ARM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188593628501326","0.0665937908053948","0.608291621442106","1.72442285714463","1.10020926856519","3.16805367491259","12.2707797402698","6.61258077844183","5.45043316560111","3.29806741743693","4.65949974895048","4.37657009672658","6.90990201303095","5.96010633958357","7.3073150316137","7.25233197719082","8.09234920917782","8.78869455248089","5.71603784546004","6.44066836705362","4.67672787765567","3.11193148125796","3.50211424719527","1.74473699241328","3.16450822069324","2.17684677683483","2.04003330127782","1.85826759386502","",
"American Samoa","ASM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
